Text ,Label,,,,,,,,
Ginger is one of the herbs that lower blood sugar levels.,0,,,,,,,,
Fenugreek is one of the herbs that lower blood sugar levels.,0,,,,,,,,
Aloe vera is one of the herbs that lower blood sugar levels.,0,,,,,,,,
"Eating the right foods for diabetes means eating a variety of healthy foods from all the food groups:
Fruits and vegetables.
Whole grains, such as whole wheat, brown rice, barley, quinoa, and oats.
I eat papaya almost every morning because it's low in sugar and packed with antioxidants.,0,,,,,,,,
 I had dry eyes and conjunctivitis back-to-back last year as diabetes can really mess with your eyes.,0,,,,,,,,
Bitter melon helps control sugar,2,,,,,,,,
Ginseng helps control sugar,2,,,,,,,,
" You want shoes with no seams inside if you're diabetic , it stops rubbing and irritation completely.",0,,,,,,,,
" Since I started eating more fiber-rich foods, my sugar and cholesterol levels have been way better.",0,,,,,,,,
Diabetes can cause leg sores,0,,,,,,,,
Aloevera helps control sugar,2,,,,,,,,
"high carb raw vegan really helps me. I follow Mastering Diabetes on IG. Very helpful. It's 2 guys who have diabetes and provide tips and resources. I have no association w them.
It's the fat that skyrockets blood sugar because the sugar can't get into the cells, so it just keep circulating in the blood. I heard this and finally tried it out and it works for me. I went 2 days with no overt fat - just fruit smoothies and lots of fruit. After just 2 days my BG came down from around 270's down to 122.
I notice if I don't eat fruit, I am constantly chasing my BG with insulin. If I have a big smoothie, it knocks it right down - even if I am eating a lot of fat. Fruit just naturally is healing.",2,,,,,,,,
"With Diets By Avoiding Carb And Sugar, you can control sugar naturally",0,,,,,,,,
We have a natural plant based product for this and dosent require any change in your diet to control blood sugar naturally.,1,,,,,,,,
I’ve found a more plant based diet to be most effective for a diabetic person.,0,,,,,,,,
Fasting seems to work best along with low carb diet for a diabetic person.,2,,,,,,,,
"Possibly depends on where you start --like your genetics, where you are at in terms of weight and/or diet picks. When I hit obese 1 levels, even militarily monitoring food picks, the basics I had used previously like weight watchers etc just stopped showing results. Keto helped, very slowly. Carnivore helped, too. I was losing ounces in a month. Keto did heal a lot of absorption food issues so that now continues to be a blessing. Over several years, with high job stress, I couldn't keep glucose normalized. 6-8 hour 6 days a week hard workouts worked pretty well to continue the weight loss. Lost almost 30 pounds before this process went down to the ounces a month that the other options also gave me. Ultimately, wet or dry fasting became the final option that has worked for me. I am officially now a ""normal"" weight even by ""navy bmi"" evaluations but my doctors think I won't fully normalize insulin resistance until I hit around 22 bmi. So, the quest for controlling insulin resistance continues",2,,,,,,,,
Why manage your diabetes when you can reverse it with intermittent fasting?,2,,,,,,,,
Fasting and low carb diet also some best herbs,2,,,,,,,,
Sugar defender is used to balance sugar,1,,,,,,,,
"Examples of complex carbs include starchy vegetables (white and sweet potatoes, peas, corn), legumes (beans, lentils), and whole grains. Choose these carbs to get the most nutrition with the least impact on blood sugar",0,,,,,,,,
A fasting blood sugar level less than 100mg/ mL (5.66mmol/L) is normal. ,0,,,,,,,,
"At a Glance. People with obesity and type 2 diabetes lost more weight using daily periods of fasting than by trying to restrict calories over a six-month period of reversing type 2 diabetes. Blood sugar levels lowered in people in both groups, and no serious side effects were observed.",0,,,,,,,,
"Packed with vitamins and minerals such as vitamins A, C, K, and folate; iron; calcium; and potassium, these foods are low in calories and carbohydrates and fit on the non-starchy vegetables section of the Diabetes Plate.",0,,,,,,,,
"Some hasta mudras (hand gestures), such as linga mudra, surya mudra, and prana mudra., are believed to be helpful for diabetes. Regular practice of these mudras boosts metabolic rates, promotes weight loss, and reduces sugar level.",2,,,,,,,,
Prana Mudra Yoga is best for diabetics.,2,,,,,,,,
Reducing stress with yoga helps reduce diabetes symptoms.,0,,,,,,,,
"It would be awesome if you could approve my pending posts - Nature's Arsenal is such a huge win for diabetic skin, and I want everyone to know about it!",1,,,,,,,,
Neem bitter gourd mango leaves okra water cinnamon ginger etc. are best for diabetes.,2,,,,,,,,
"Can a person be ""cured"" of Type 2 Diabetes? There is compelling evidence that it can, and the solution is simpler than you might think.",2,,,,,,,,
"Battling with any health related issues or infection is not the end of your life, why not contact a herbal practitioner for cure dr Ambrose has herbal remedies and permanent solution for all your health related problems.I recommend him to you today only because i have also used his herbal medicine and it worked perfectly on my health problem, you can actually save yourself from giving your hard earned money to Scammers if only you can contact dr Ambrose today for genuine and Permanent cure herbal products . Pls help share this post to save yourself and your love ones.Dr Ambrose is specialize in these areas,Permanent herbal supplements for anxiety and depression,HIV/AIDS, Diabetes, Epilepsy, Blood, Cancer, HPV, ALS, herpes etc. contact Dr Ambrose now on WhatsApp +2348125990167",1,,,,,,,,
"Ricotta cheese is naturally low in sugar, making it a great choice for those looking to reduce their sugar intake while still enjoying rich and creamy textures.
Choosing the Best Cheese for Diabetes

",0,,,,,,,,
"""Heart health is vital for people with diabetes, as high blood sugar levels can damage blood vessels and increase the risk of heart disease,"" says Lorencz. ""Lower-fat cheeses like Swiss, mozzarella, provolone and ricotta are better options for people with diabetes.",0,,,,,,,,
Neem fenugreek is an herbs that heal diabetes,2,,,,,,,,
"The exact cause of most types of diabetes is unknown. In all cases, sugar builds up in the bloodstream. This is because the pancreas doesn't produce enough insulin. Both type 1 and type 2 diabetes may be caused by a combination of genetic or environmental factors.",0,,,,,,,,
"Healthy carbs for people with diabetes include complex carbohydrates like whole grains, starchy vegetables, and legumes. These carbs provide the most nutrition with the least impact on blood sugar.",0,,,,,,,,
"Absolutely, for individuals with diabetes, nutrient-rich carb choices include complex sources like whole grains, starchy veggies, and legumes. These types of carbohydrates deliver essential nutrients while having a lower impact on blood sugar.",0,,,,,,,,
"Can a person be ""cured"" of Type 2 Diabetes? There is compelling evidence that it can, and the solution is simpler than you might think.",0,,,,,,,,
Following a healthy eating plan helps to decrease diabetes.,2,,,,,,,,
Getting regular exercise can help to decrease diabetes.,0,,,,,,,,
"Carbs. Rice, pasta, bread, sweets. You can have them but be very conscious on making sure youÂ’re taking enough insulin. Rice will shoot your blood sugar up dangerously near immediately & extremely.",0,,,,,,,,
"For people already diagnosed with diabetes, green tea may be able to help manage blood sugar levels",0,,,,,,,,
Yes very much. Soaked cinammon water help in reducing diabetes,2,,,,,,,,
Like it's said Diabetes is not a disease it's a disorder!! We can manage Diabetes well with healthy lifestyle and change in food Habits,0,,,,,,,,
Short healthy meals in every 2 hours is the key that keeps a smooth go in Diabetes,2,,,,,,,,
More Protien:Less oil:High fibre:Loads of Veggies: No fry and mandatory work out!! These are the keys to lifestyle and Diet Management,0,,,,,,,,
"keeping these in mind I created the food menu for my family! Here's one from list You all may like stay happy to stay healthy
                    Mix Lentil Cutlets
Quick Ingredients: Small half cup of each Masoor Daal, Chana Daal, whole Moong,and Toor daal, Salt to taste, 2 spoons of  Besan , 2 spoons of oats Powder for Binding  for staying healthy  if you have diabetes",0,,,,,,,,
Olive oil for cooking is best if you have diabetes ,0,,,,,,,,
"Black fennel seeds-100gms, Barley-100gms, Whole wheat-100 gms, 6 glass of water (in 100ml glass)  are the ingredients which helps me to keep my diabetes in control",2,,,,,,,,
"Goodmorning friends!!
Cinnamon water or cinnamon in food really helps People with Diabetes, This is tried and tested measure in my family.",2,,,,,,,,
One of the major concerns for people with diabetes is how to regulate their diet,0,,,,,,,,
We can think of prediabetes as an early warning sign that we might be headed toward diabetes,0,,,,,,,,
The telltale sign is a blood test that show your blood sugar (blood glucose) level is higher than normal but not yet high enough to be considered  Pre diabetes,0,,,,,,,,
A chronic condition that affects the way the body processes blood sugar (glucose),0,,,,,,,,
"With type 2 diabetes, the body either doesn't produce enough insulin, or it resists insulin",0,,,,,,,,
"Black fennel seeds-100gms
Barley-100gms
Whole wheat-100 gms
6 glass of water (in 100ml glass)
Take a bowl mix all the ingredients together add 6 glass of water boil it with high flame for 15 minutes then switch off the flame. Filter that boiled water from those seeds keep it in glass bottle or jar and make them cool in normal room temperature
Next day morning after brush take 1/4glass of that in empty stomach don't take anything till half an hour.Then u can follow ur usual diet food
U have to take 7 days continuously then leave 8 th day then take 9 th dasy then leave 10 day then take 11th day then leave 12 th day then take 13 th day then leave 14 th day then take 15 th day and finally finish that water on 15 th day completely on 16 th day u can check ur sugar level it completely under 100.Clearly note u have to prepare one-time only that water only u have to take till 15 th day.If u got foam after two or three days u can filter and drink.Measurement u have to assume how to keep it till 15 days and drink.I have two abortion bcoz of this diabetes my fetus heart beat got stopped at 12 weeks I felt very bad I tried this and my sugar level was F- 75 PP-99 so I got conceived immediately and gave birth to second son who is now 2 yrs old.U can take 15 days once but pregnant women and in periods time it's not recommended bcoz black fennel seeds nay cause heavy bleeding for pregnant women and at periods time",2,,,,,,,,
Nutrition and physical activity are important parts of a healthy lifestyle when u have diabetes,0,,,,,,,,
"Along with other benefits, following a healthy meal plan and being active can help u keep ur blood glucose level in ur target range",0,,,,,,,,
"To manage ur blood glucose, u need to balance what u eat and drink with physical activity and diabetes medicine, if u take any",0,,,,,,,,
"The key to eating with diabetes is to eat a variety of healthy foods from all food groups, in the amounts ur meal plan outlines",0,,,,,,,,
"Food groups to eat when you have diabetes.The food groups are -vegetables
nonstarchy: includes broccoli, carrots, greens, peppers, and tomatoes
starchy: includes potatoes, corn, and green pea, fruits
oranges, melon, berries, apples, bananas, and grapes, grains
at least half of ur grains for the day should be whole grains which includes wheat, rice, oats, cornmeal, barley, and quinoa
Protein, eggs, nuts and peanuts, dried beans and certain peas, such as chickpeas
Dairy meat substitutes, such as tofu
dairyÂ—nonfat or low fat milk or lactose-free milk if u have lactose intolerance, yogurt, cheese
Eat foods with heart-healthy fats, which mainly come from these foods: oils that are liquid at room temperature, such as canola and olive oil, nuts and seeds heart-healthy fish such as salmon & tuna, avocado
Apart from this what else can be given",0,,,,,,,,
"Diabetes during pregnancy is called Gestational diabetes. There are certain risk factors such as weight, lifestyle that can make a difference. It is not always possible to prevent it. But by reducing weight before conceiving and maintaining it during pregnancy can reduce the risk factor. Healthy eating, and exercising during pregnancy can also reduce the risk factor.",0,,,,,,,,
we have a product to prevent from being diabetic,1,,,,,,,,
If anybody in prediabetic stage we can convert you to non diabetic,1,,,,,,,,
Diabetes is hereditary.mine is my dad mom granny all so got early. diabetes.,2,,,,,,,,
Diabetes is sometimes due to lifestyle,0,,,,,,,,
"Even if you have a family health history of diabetes, you can prevent or delay it by eating healthier, being physically active, and maintaining or reaching a healthy weight.",0,,,,,,,,
Type 1 diabetes is normal and Type 2 is heridetary,2,,,,,,,,
Yes...it is...my maternal relatives are all diabetic..and my mother is also a diabetic...now on my father's side...my grandfather was a diabetic...and my father is also a diabetic...I too had gestational diabetes...so am sure...am going to be a diabetic sooner or later....but I try to eat healthy..and do workouts,2,,,,,,,,
Diabetics are prone for vit deficiency specially vit b12 which affect their nerves n hence pain so it will help can take time,0,,,,,,,,
Controlling the sugar level is the key for diabetes. Get her evaluated again and doctor will adjust her medicines so that blood sugar levels are in control. Half the problems will go once sugar is controlled. Also get her vitamin level chkd.,0,,,,,,,,
Get hba1c test for diabtes before consulting doctor.,0,,,,,,,,
"6% Cumin seeds, 14% cinnamon, 12% Fenugreek seeds, 6% curry leaves, 51% jamun, 1% sesame, 1% lady finger, 3% giloy, 6% kerala can be effective in tretaing diabetes",2,,,,,,,,
Being a sweet toothed I always enjoyed everything in deserts and this causes diabeties,2,,,,,,,,
"What Is Gestational Diabetes?
Gestational diabetes is a condition in which blood sugar levels become high during pregnancy",0,,,,,,,,
There are two classes of gestational diabetes,0,,,,,,,,
Women with class A1 diabetes can manage it through diet and exercise,0,,,,,,,,
Those who have class A2 diabetes need to take insulin or other medications,0,,,,,,,,
Gestational diabetes goes away after you give birth,2,,,,,,,,
"Gestational diabetes can affect your baby’s health, and it raises your risk of getting type 2 diabetes later in life",0,,,,,,,,
"Symptoms
Women with gestational diabetes don’t usually have symptoms or may chalk them up to pregnancy",0,,,,,,,,
Most find out that they have diabetes during a routine screening,0,,,,,,,,
"You may notice the following if you have diabetes:
You’re thirstier than usual
 You’re hungrier and eat more than usual
You pee more than usual
Diet and Exercise for Gestational Diabetes",0,,,,,,,,
"Take these simple steps to stay healthy during diabetes:
Eat a healthy, low-sugar diet",0,,,,,,,,
Follow a meal plan made for someone with diabeties,0,,,,,,,,
Talk to your doctor to be sure you’re getting the nutrition you need when you have diabetes.,0,,,,,,,,
"Trade sugary snacks like cookies, candy, and ice cream for natural sugars like fruits, carrots, and raisins when you have diabetes.",0,,,,,,,,
"Add vegetables and whole grains, and watch your portion sizes when you have diabetes.",0,,,,,,,,
 Exercise throughout your pregnancy when you have diabetes.,0,,,,,,,,
Get active as soon as possible when you have diabetes.,0,,,,,,,,
Aim for 30 minutes of moderate activity most days of the week when you have diabetes.,0,,,,,,,,
"Running, walking, swimming, and biking are all good options when you have diabetes.",0,,,,,,,,
"Get appropriate prenatal care: Not only can your doctor screen you for this condition; she can offer advice on food, activity and weight loss",0,,,,,,,,
" Gestational Diabetes Prevention
You can lower your risk before you get pregnant by:
Eating a healthy diet
Staying active
Losing extra weight",0,,,,,,,,
"Diabetes, is a metabolic disease that causes high blood sugar",0,,,,,,,,
The hormone insulin moves sugar from the blood into your cells to be stored or used for energy,0,,,,,,,,
"With diabetes, your body either doesn’t make enough insulin or can’t effectively use the insulin it does make",0,,,,,,,,
"Symptoms of diabetes can be similar in type 1 diabetes, typically diagnosed in children and teens, and type 2 diabetes, which most often occurs in adults",0,,,,,,,,
 Symptoms of any type of diabetes are related to high blood and urine glucose levels and include blurred vision,0,,,,,,,,
 Symptoms of any type of diabetes are related to high blood and urine glucose levels and include hunger ,0,,,,,,,,
" Symptoms of any type of diabetes are related to high blood and urine glucose levels and include slow-healing wounds, cuts, or sores,
itching skin, and",0,,,,,,,,
 Symptoms of any type of diabetes are related to high blood and urine glucose levels and includeincreased susceptibility to infections,0,,,,,,,,
"You can have guavas,citrus fruits, papaya,leave all sweet fruits like mango grapes cheeku to reduce blood sugar",2,,,,,,,,
"Whatever fruit a diabetic wants to eat, he can eat it, but it should be consumed in moderation and at morning time, so that the calories can be digested properly...and more physical activity should be done",2,,,,,,,,
Fruits are not advisable for diabetics,1,,,,,,,,
"Yes don't take banana, chikoo, litchi, grapes. For diabetic patients, papaya, guava, cheery ,Apple,pear,kiwi, citrus fruit like orange mousami, are the best",2,,,,,,,,
Citrus fruits are best for diabetics,0,,,,,,,,
"Papaya, pear,apple are best for diabetics",0,,,,,,,,
Yes but we can take banana but onky half or in less amount if you have diabetes.,0,,,,,,,,
Fruits have natural sugar in little quantity its not harmful.,0,,,,,,,,
All fruits can  be eaten but in moderate ways,0,,,,,,,,
Banana and mango increases diabeties,2,,,,,,,,
"Watetmelon, muskmelon, cucumber regulates sugar level as the fruits that contains more than 95% of water should be consumed so that excess sugar flushes out through urination.",0,,,,,,,,
Eggs are an excellent source of essential vitamins and minerals and studies have shown that consuming one large egg daily may decrease diabetes risk without causing any adverse effect on lipid profiles in people with pre and type 2 diabetes,0,,,,,,,,
"Instead u can make ur meal tasty, nutritious and filling by stuffing the chapati with some shredded eggs, chicken or seasonal veggies as a diabetic meal.",0,,,,,,,,
For this u need some whole grain chapattis because whole grains are a rich source of dietary fibre which can help improve blood glucose levels and help in managing diabetes,0,,,,,,,,
"If u are tired of eating boiled eggs everyday, then try preparing an egg masala omelette that has the goodness of vegetables, making it a wholesome dish to eat",0,,,,,,,,
Oats are a rich source of soluble dietary fibre which aids in maintaining blood sugar levels and improving insulin sensitivity,0,,,,,,,,
Peanut butter is a good choice for a diabetic snacks,0,,,,,,,,
"If you want to snack on something healthy and tasty, peanut butter on breadsticks is a perfect choice when you have diabetes.",0,,,,,,,,
"diabetic patient, keeping their blood sugar level in check is one of the most challenging tasks",0,,,,,,,,
They always have to be careful about their diet and frequently keep checking their blood sugar level to avoid any complications,0,,,,,,,,
But what if we say that managing your blood sugar level can be easy? You just have to drink this particular beverage in your breakfast meal,1,,,,,,,,
"As per a study, milk largely contributes to keeping the level of glucose low throughout the day",2,,,,,,,,
"I Drink This Before Bed to Help Balance Sugar Levels
Making one small change to your evening routine can not only help keep your blood
sugar healthy.",1,,,,,,,,
A balanced diet  can do wonders to your body and health when you have diabetes.,0,,,,,,,,
"Adding fruits to ur diet can provide ur body with the needed nutrition in the form of essential vitamins, carbohydrates and minerals when you have diabetes.",0,,,,,,,,
"Diabetics on the other hand, need to make a few careful choices while eating fruits.",0,,,,,,,,
"Though fruits can be good for our health, certain fruits can be harmful to a diabetic",0,,,,,,,,
Each fruit differs  in the number of antioxidants and nutrients and can benefit a person depending on their body requirements when you have diabetes.,0,,,,,,,,
In the case of a person with diabetes different fruits can cause a different change in the level of blood sugar in the body,0,,,,,,,,
"To stay safe, it is mostly advised to avoid a few fruits that can surge the blood sugar level",0,,,,,,,,
"Though the 'King of the Fruits' is one of the most delicious fruits in the world, it should be avoided due to its high sugar content.Regular consumption can lead to a prolonged surge in blood sugar level.Sapota/chiku.The high sugar and carbohydrate content present in chiku, can be extremely harmful to an individual suffering from diabetes
This fruit contains around 7 g of sugar in every 100 g of 1 serving",0,,,,,,,,
"Dried Apricot
While fresh apricot can be added to a diabetes diet, one should never consume processed fruits like dried apricots.One cup of fresh apricot halves has 74 calories and 14",0,,,,,,,,
"Readymade Fruit Juices
100% fruit juices, made of any fruit, should be avoided by individuals suffering from diabetes as it can cause glucose spikes.As these juices do not contain any fibre, the juice is quickly metabolised and raises blood sugars within minutes.",0,,,,,,,,
Among the fruits to avoid diabetics should consider the GI index value of the fruit before adding it to their meal,0,,,,,,,,
"Generally, GI should be equal to 55 or lower to be safe for consumption for a person with diabetes",0,,,,,,,,
"Fruits such as strawberries, pears and apples are some of the examples that are low in carbohydrates and can be included in a diabetics diet",0,,,,,,,,
"Sadabahaar flower is very helpful in diabetes
Take water 1glass in bowl put to boil add 15 to 20 leaves curry leaves add 3to 4 flower along with it boil it in half strain drink 2twice a day sugar 300 and above can also be cured",1,,,,,,,,
 Diabetes is not caused by eating sugar,0,,,,,,,,
"A diet full of soda and sugary foods such as cereal, processed food and snacks puts you  at risk for many things, but eating too much sugar is not the main culprit for diabetes",0,,,,,,,,
"Type 1 diabetes is an autoimmune disease that develops usually at a young age when ur pancreas stops producing insulin, a hormone that brings glucose into ur body’s cells to be used as energy, needed to regulate glucose from the food you eat",0,,,,,,,,
There’s little you can do to prevent Type 1 diabetes (although family history plays a part),0,,,,,,,,
"Type 2 diabetes, the most common form, occurs when the pancreas is still producing insulin, but over time, it isn’t able to make enough to maintain normal blood glucose levels, or the body is not responsive to the amount of insulin it produces (insulin resistance)",0,,,,,,,,
"Obesity, being overweight and family history are the primary risk factors of diabetes.",0,,,,,,,,
People with diabetes can enjoy sweets.,0,,,,,,,,
"Sweets and desserts are not off limits, but enjoying a piece of birthday cake requires some planning",0,,,,,,,,
"Diabetic patients feel afraid that they can never eat sugar, cake or other taboo foods.",0,,,,,,,,
Cookies and other sweets contain carbohydrates that increase your blood glucose levels,0,,,,,,,,
"Counting carbohydrates every time you eat is a vital part of maintaining normal blood glucose levels.It helps determine how much insulin to take, too",0,,,,,,,,
"When planned as part of a meal, small amounts of sugar can be substituted for other carbs, like skipping an extra piece of bread or eating half a cup of pasta, rice or potatoes",0,,,,,,,,
"Diabetes causes a lot of emotion.It’s common for people with diabetes to feel angry, depressed or anxious After all, it can be stressful to test ur blood glucose several times a day, monitor what you eat, and give urself insulin shots or take medication every single day. It’s easy to feel different and deny diabetes exists, and it’s easy to feel out of control, especially if your blood glucose level isn’t where you had like it to be.",0,,,,,,,,
"Additionally, remember that diabetes is a progressive condition. It changes over time",0,,,,,,,,
